epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1
1,0.5740318365097046,0.800074074074074,0.7983713091576766,0.4372508784135183,0.8515,0.8499023156733141
2,0.4539856522966314,0.8413148148148148,0.8405152805741111,0.4323663367430369,0.8501666666666666,0.8472370029661047
3,0.43428107425901624,0.8492222222222222,0.8485726864200883,0.4048717408180237,0.862,0.8619922741472393
4,0.42136719369888304,0.8534074074074074,0.8526280459485008,0.4109240198930105,0.8566666666666667,0.855781276715269
5,0.41496274951652246,0.8564444444444445,0.8557465499577359,0.3980407996972402,0.8635,0.8619317982706202
6,0.40871488204708806,0.8575925925925926,0.8568375184298823,0.39831485358874,0.8623333333333333,0.8618048543994231
7,0.40563850120261863,0.8583148148148149,0.8576028954813113,0.40796808385849,0.8595,0.8602671983072343
8,0.39931441502217896,0.861037037037037,0.860360989627995,0.394014137506485,0.8651666666666666,0.8631154389237776
9,0.3981299008793301,0.8617222222222222,0.861024679005778,0.39323659030596414,0.8648333333333333,0.8641346709449446
10,0.39430076382778306,0.8617407407407407,0.8610474007642288,0.39930862840016684,0.8615,0.8602005826982303
