epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1
1,0.5431381144170407,0.8051666666666667,0.8033891136210201,0.36801029920578004,0.8678333333333333,0.8664257380687126
2,0.3918218549799036,0.8567592592592592,0.8559047303187782,0.3273367722034454,0.884,0.8834551785081924
3,0.3534209141642959,0.8706851851851852,0.8701812834186029,0.3073598248958588,0.8876666666666667,0.8878843430444585
4,0.3307502420478397,0.8778518518518519,0.8772840763402318,0.3034361422856649,0.8931666666666667,0.893220898099553
5,0.313135045643206,0.885,0.8844575615994705,0.302399493932724,0.8898333333333334,0.8887316061551577
6,0.3016007145422476,0.8881666666666667,0.8876262915380261,0.29589137351512906,0.8938333333333334,0.8931397436873845
7,0.28816296617190046,0.8926666666666667,0.8922132707355139,0.296485754887263,0.8923333333333333,0.8921692813847489
8,0.27946545900238884,0.8946851851851851,0.8942965926992386,0.2825455906788508,0.8986666666666666,0.8984659039421331
9,0.266484324004915,0.9009074074074074,0.9005339120639284,0.2837190046310425,0.8991666666666667,0.8984249352670618
10,0.26302325799288573,0.9019259259259259,0.9015829327065112,0.2905653382539749,0.8965,0.895977553283123
